,HSCs->HSCs->HSCs->HSCs[0_0],HSCs->HSCs->HSCs->MKP[2_0],HSCs->HSCs->MKP->MKP[3_0],HSCs->LMPPs->LMPPs->MKP[4_0],HSCs->LMPPs->MKP->MKP[5_0],EryP->EryP->EryP->EryP[6_0],EryP->EryP->LMPPs->LMPPs[7_0],EryP->EryP->EryP->LMPPs[8_0],EryP->EryP->LMPPs->MKP[9_0],MKP->MKP->LMPPs->LMPPs[10_0],MKP->MKP->LMPPs->MKP[11_0],MKP->MKP->MKP->MKP[12_0],eosiP->LMPPs->LMPPs->LMPPs[13_0],eosiP->LMPPs->LMPPs->MKP[14_0],eosiP->LMPPs->MKP->MKP[15_0],LMPPs->LMPPs->LMPPs->LMPPs[16_0],LMPPs->MKP->LMPPs->LMPPs[17_0],LMPPs->LMPPs->LMPPs->MKP[18_0],LMPPs->LMPPs->MKP->MKP[19_0],LMPPs->MKP->LMPPs->MKP[20_0],LMPPs->MKP->MKP->MKP[21_0],MYP->EryP->EryP->EryP[22_0],MYP->EryP->LMPPs->LMPPs[23_0],MYP->EryP->EryP->LMPPs[24_0],MYP->MYP->MYP->MYP[25_0],MYP->MYP->MYP->MKP[26_0],MYP->EryP->LMPPs->MKP[27_0],MYP->MYP->EryP->EryP[28_0],MYP->MYP->EryP->LMPPs[29_0],eosiP->MKP->LMPPs->MKP[30_0],eosiP->MKP->MKP->MKP[31_0],eosiP->MKP->EryP->EryP[32_0],eosiP->MKP->LMPPs->LMPPs[33_0],eosiP->MKP->EryP->LMPPs[34_0],MKP->LMPPs->LMPPs->MKP[35_0],MKP->LMPPs->MKP->MKP[36_0],MKP->EryP->LMPPs->MKP[37_0],MKP->MKP->EryP->EryP[38_0],MKP->EryP->EryP->EryP[39_0],MKP->MKP->EryP->LMPPs[40_0],MKP->LMPPs->LMPPs->LMPPs[41_0],MKP->EryP->EryP->LMPPs[42_0],MKP->EryP->LMPPs->LMPPs[43_0],LMPPs->MKP->EryP->EryP[44_0],LMPPs->MKP->EryP->LMPPs[45_0]
182,Hoxa10,Ccl4,Marcks,Dek,Eif1,Dek,Psmb10,Pfn1,Eif1,Pfn1,Rpl10a,,,Hdgf,Nop10,Rfc2,Pfn1,Alyref,Alyref,Dek,Atad2,,,,H2-Q4,Samsn1,Hnrnpa2b1,,,Rps27,Nop10,,,,Rpl10a,Atad2,Serbp1,Rpl24,Psmb10,Hmgn1,Rpl17,Metap2,Srsf7,Tyms,Hmgn1
183,Tnip3,Sepp1,H2-Aa,Rpl10a,Atad2,Rpl10a,Cycs,Srsf7,Ssr2,Srsf7,Gnai2,,,Rpl27,Hdgf,Rpl30,Srsf7,Xist,Xist,Rpl10a,Ssr2,,,,Tbxa2r,Lysmd2,Ppia,,,Prdx2,Hdgf,,,,Gnai2,Ssr2,Parp1,Pfn1,Srm,Lyar,Cd47,Gpx4,Etfb,Eef1a1,Lyar
184,Trp53i11,Mdfi,Crim1,Gnai2,Ssr2,Gnai2,Sdf2l1,Etfb,Dek,Etfb,Eef2,,,Hmbs,Rpl27,Aldoa,Etfb,Rbm39,Rbm39,Gnai2,Dek,,,,Gm16152,Stxbp4,,,,Tmem14c,Rpl27,,,,Eef2,Dek,Ifitm2,Srsf7,Cycs,Ddx21,Rpl24,Cox8a,Cox5b,Cox5b,Ddx21
185,Endov,Zc3h6,Fcgrt,Eef2,Dek,Eef2,Rpl17,Tyms,Rpl10a,Cox5b,Ifitm2,,,Rps27,Hmbs,Calm2,Cox5b,Eif1,Eif1,Eef2,Rpl10a,,,,H2-Ob,Camk1d,,,,Mcm7,Rps27,,,,Cenpv,Rpl10a,Ifi47,Etfb,Dynll1,C1qbp,Pfn1,Hmgn1,Eef1a1,H2afj,C1qbp
186,Tmem71,Lpp,Hoxa5,Ifitm2,Rpl10a,Serbp1,Cd47,Eef1a1,Gnai2,Eef1a1,Serbp1,,,Prdx2,Rps27,Rpl14,Eef1a1,Ssr2,Atad2,Ifitm2,Gnai2,,,,0610009L18Rik,Ptms,,,,H2afz,Prdx2,,,,Serbp1,Gnai2,Psme1,Tyms,Sdf2l1,Krtcap2,Srsf7,Lyar,H2afj,B2m,Krtcap2
187,St3gal6,Ptafr,Dkkl1,Serbp1,Gnai2,Parp1,Rpl24,Cox5b,Cenpv,Arpc1b,Parp1,,,Tmem14c,Prdx2,Srm,Arpc1b,Dek,Ssr2,Serbp1,Eef2,,,,Itih5,Fosb,,,,Rpl6,Tmem14c,,,,Parp1,Eef2,mt-Nd1,Eef1a1,Rpl17,Canx,Etfb,Ddx21,B2m,Gpx4,Laptm4a
188,Gm20467,Adrb2,Gstt1,Parp1,Eef2,Psme1,Etfb,H2afj,Eef2,Pkm,Psme1,,,Mcm7,Tmem14c,Dynll1,Pkm,Rpl10a,Dek,Parp1,Ifitm2,,,,Rbp1,Snap47,,,,H2-D1,Mcm7,,,,Ifitm2,Cenpv,Arpc1a,Cox5b,Cd47,Serp1,Cox5b,C1qbp,Tmem238,Cox8a,Canx
189,Ccl4,Rnf122,Pnck,Psme1,Ifitm2,mt-Nd1,Pfn1,B2m,Serbp1,H2afj,mt-Nd1,,,H2afz,Mcm7,Klk8,H2afj,Gnai2,Rpl10a,Psme1,Serbp1,,,,Maged2,Ccdc112,,,,Nme1,H2afz,,,,Ifi47,Serbp1,Nasp,H2afj,Rpl24,Eif5a,Eef1a1,Krtcap2,Metap2,Hmgn1,Eif5a
190,Sepp1,Slfn2,Uvssa,mt-Nd1,Serbp1,Arpc1a,Srsf7,Metap2,Ifitm2,B2m,Nasp,,,Rpl6,H2afz,Psmb10,B2m,Cenpv,Gnai2,mt-Nd1,Parp1,,,,Cul9,Ier5,,,,Hnrnpa1,Rpl6,,,,Psme1,Parp1,Hsp90b1,B2m,Pfn1,Spcs2,Arpc1b,Canx,Gpx4,Lyar,Spcs2
191,Mdfi,Mgst1,Procr,Nasp,Parp1,Nasp,Cox5b,Gpx4,Nucks1,Tmem238,Hsp90b1,,,H2-D1,Rpl6,Cycs,Tmem238,Eef2,Cenpv,Tmsb10,Psme1,,,,Tns1,Emcn,,,,Hnrnpa2b1,H2-D1,,,,mt-Nd1,Ifitm2,Psip1,Gpx4,Srsf7,Myl6,Pkm,Serp1,Cox8a,Tax1bp1,Myl6
192,Zc3h6,Insig1,Oas1c,Hsp90b1,Psme1,Hsp90b1,Eef1a1,Cox8a,Ifi47,Metap2,Psip1,,,Nme1,H2-D1,Rpl17,Metap2,Serbp1,Eef2,Nasp,mt-Nd1,,,,Abcg1,Dennd5b,,,,Ppia,Nme1,,,,Nasp,Ifi47,Rfc2,Cox8a,Etfb,Naca,H2afj,Eif5a,Hmgn1,mt-Nd4,Naca
193,Lpp,Tbkbp1,Plscr4,Psip1,mt-Nd1,Prdx4,Tmem238,Hmgn1,Parp1,Gpx4,Psmb8,,,Hnrnpa1,Nme1,Sdf2l1,Gpx4,Ifitm2,Serbp1,Hsp90b1,Nasp,,,,1500009L16Rik,Tcf7l2,,,,,Vamp8,,,,Hsp90b1,Psme1,Rpl30,Hmgn1,Tyms,Dut,B2m,Spcs2,Lyar,Krtcap2,Dut
194,Ptafr,Car2,Ebi3,Psmb8,Nasp,Psip1,B2m,Lyar,Psme1,Cox8a,Rfc2,,,Hnrnpa2b1,Vamp8,Cd47,Cox8a,Parp1,Ifitm2,Psip1,Hsp90b1,,,,Dntt,Sertad3,,,,,Hnrnpa1,,,,Psip1,mt-Nd1,Aldoa,Lyar,Eef1a1,Gmnn,Tmem238,Myl6,Ddx21,Ddx21,Gmnn
195,Adrb2,Serpinf1,Ttc39b,Rfc2,Hsp90b1,Rfc2,H2afj,Ddx21,mt-Nd1,Hmgn1,Rpl30,,,Ppia,Hnrnpa1,Cox5b,Hmgn1,Ifi47,Parp1,Psmb8,Psip1,,,,Cuedc1,Cers4,,,,,Hnrnpa2b1,,,,Psmb8,Nasp,Rpl14,Tax1bp1,Cox5b,Nop10,Metap2,Naca,C1qbp,Laptm4a,Nop10
196,Rnf122,Smarca2,Arhgef5,Rpl30,Psip1,Rpl30,Metap2,C1qbp,Arpc1a,Lyar,Aldoa,,,,Hnrnpa2b1,Etfb,Lyar,Psme1,Ifi47,Rfc2,Psmb8,,,,Neurl3,Gm5111,,,,,Ppia,,,,Rfc2,Hsp90b1,Psmb10,mt-Nd4,H2afj,Sec61g,Gpx4,Dut,Krtcap2,Canx,Sec61g
197,Slfn2,Casp12,Ryk,Calm2,Psmb8,Aldoa,Gpx4,Krtcap2,Nasp,Ddx21,Rpl14,,,,Ppia,Rpl24,Ddx21,mt-Nd1,Psme1,Rpl30,Rfc2,,,,Gem,Ccl4,,,,,Rrm2,,,,Rpl30,Psip1,Srm,Krtcap2,B2m,Ucp2,Cox8a,Gmnn,Canx,C1qbp,Ucp2
198,Mgst1,Hacd4,Cd274,Rpl14,Rfc2,Rpl14,Cox8a,Laptm4a,Hsp90b1,C1qbp,Srm,,,,Rrm2,Pfn1,C1qbp,Tmsb10,mt-Nd1,Aldoa,Rpl30,,,,Plxna4os1,Lpp,,,,,,,,,Aldoa,Psmb8,Cycs,Ddx21,Gpx4,Hdgf,Hmgn1,Nop10,Serp1,Eif5a,Hdgf
199,Rassf4,Pnrc1,Myct1,Srm,Rpl30,Srm,Ppia,Canx,Psip1,Krtcap2,Dynll1,,,,,Srsf7,Krtcap2,Nasp,Nasp,Rpl14,Aldoa,,,,Camk2d,Ptafr,,,,,,,,,Calm2,Rfc2,Dynll1,C1qbp,Cox8a,Rpl27,Lyar,Sec61g,Eif5a,Spcs2,Rpl27
200,Insig1,Slc50a1,Gm15261,Dynll1,Calm2,Dynll1,Hmgn1,Serp1,Rfc2,Canx,Cycs,,,,,Eef1a1,Laptm4a,Hsp90b1,Hsp90b1,Srm,Rpl14,,,,Fam134b,Rnf122,,,,,,,,,Rpl14,Rpl30,Sdf2l1,Canx,Hmgn1,Rps27,Ddx21,Ucp2,Spcs2,Myl6,Rps27
201,Tbkbp1,Pdzk1ip1,Ly6a,Klk8,Rpl14,Psmb10,Lyar,Bst2,Rpl30,Serp1,Sdf2l1,,,,,Arpc1b,Canx,Psip1,Psip1,Dynll1,Srm,,,,Pcp4l1,Tnfsf10,,,,,,,,,Psmb10,Aldoa,Rpl17,Eif5a,Lyar,Lamtor4,C1qbp,Hdgf,Myl6,Naca,Lamtor4
202,Car2,Tcf15,Ccrl2,Psmb10,Srm,Cycs,Ddx21,Eif5a,Aldoa,Srgn,Rpl17,,,,,Pkm,Rac2,Psmb8,Psmb8,Cycs,Dynll1,,,,Nol4l,Car2,,,,,,,,,Srm,Calm2,Cd47,Spcs2,Tax1bp1,Prdx2,Krtcap2,Sepw1,Naca,Dut,Prdx2
203,Serpinf1,Wbscr27,Rgs1,Cycs,Dynll1,Sdf2l1,C1qbp,Spcs2,Rpl14,Eif5a,Cd47,,,,,Tmem238,Srgn,Rfc2,Rfc2,Sdf2l1,Cycs,,,,Dst,Msi2,,,,,,,,,Cycs,Rpl14,Rpl24,Myl6,mt-Nd4,Tmem14c,Canx,Rpl27,Dut,Gmnn,Tmem14c
204,Smarca2,Syne2,Gm1673,Rpl17,Klk8,Rpl17,Krtcap2,Myl6,Srm,Spcs2,Rpl24,,,,,B2m,Eif5a,Rpl30,Rpl30,Rpl17,Sdf2l1,,,,Clec4e,Casp12,,,,,,,,,Dynll1,Psmb10,Pfn1,Naca,Krtcap2,Mcm7,Srgn,Rps27,Gmnn,Nop10,Mcm7
205,Casp12,Ltb,Rras,Sdf2l1,Psmb10,Cd47,Laptm4a,Naca,Dynll1,Myl6,Pfn1,,,,,H2afj,Spcs2,Aldoa,Aldoa,Cd47,Rpl17,,,,Fchsd2,Mylip,,,,,,,,,Sdf2l1,Srm,Srsf7,Dut,Ddx21,H2afz,Eif5a,Lamtor4,Nop10,Sec61g,H2afz
206,Hacd4,Rufy2,Hoxb2,Cd47,Cycs,Tyms,Canx,Dut,Psmb10,Naca,Srsf7,,,,,Metap2,Myl6,Calm2,Calm2,Rpl24,Cd47,,,,Pitpnc1,Zbtb20,,,,,,,,,Rpl17,Cycs,Etfb,Gmnn,C1qbp,Rpl6,Spcs2,Prdx2,Sec61g,Ucp2,Rpl6
207,Pnrc1,Exoc6b,Gfod2,Cox5b,Rpl17,Etfb,Serp1,Gmnn,Cycs,Dut,Etfb,,,,,Gpx4,Naca,Rpl14,Rpl14,Pfn1,Rpl24,,,,Ppp1r9a,Pnrc1,,,,,,,,,Cd47,Dynll1,Cox5b,Nop10,Canx,H2-D1,Myl6,Tmem14c,Ucp2,Hdgf,H2-D1
208,Slc50a1,Trim47,Pard3b,Etfb,Sdf2l1,Rpl24,Bst2,Nop10,Sdf2l1,Gmnn,Cox5b,,,,,Cox8a,Dut,Srm,Srm,Srsf7,Pfn1,,,,Tmem140,Syne2,,,,,,,,,Rpl24,Sdf2l1,Eef1a1,Sec61g,Eif5a,Kdelr2,Naca,Mcm7,Hdgf,Rpl27,Kdelr2
209,Pdzk1ip1,Adgrg1,Ly75,Rpl24,Cd47,Pfn1,Eif5a,Sec61g,Rpl17,Nop10,Eef1a1,,,,,Hmgn1,Gmnn,Dynll1,Dynll1,Etfb,Srsf7,,,,Hivep3,Rufy2,,,,,,,,,Pfn1,Rpl17,H2afj,Ucp2,Spcs2,Nme1,Dut,H2afz,Sepw1,Rps27,Nme1
210,Tcf15,Sgms1,Ppp1r15a,Pfn1,Cox5b,Srsf7,Spcs2,Ucp2,Cd47,Sec61g,Arpc1b,,,,,Lyar,Nop10,Klk8,Klk8,Cox5b,Etfb,,,,1700040L02Rik,Trim47,,,,,,,,,Srsf7,Cd47,B2m,Hdgf,Myl6,Gpi1,Gmnn,Rpl6,Rpl27,Mcm7,Gpi1
211,Wbscr27,Arhgef12,Pim2,Srsf7,Tyms,Eef1a1,Myl6,Hdgf,Rpl24,Ucp2,Pkm,,,,,Ddx21,Sec61g,Psmb10,Psmb10,Eef1a1,Tyms,,,,Maml2,Sgms1,,,,,,,,,Etfb,Rpl24,Metap2,Rpl27,Naca,Hnrnpa1,Nop10,H2-D1,Rps27,H2afz,Hnrnpa1
212,Syne2,Bex1,Cdkn1c,Eef1a1,Etfb,Cox5b,Naca,Sepw1,Etfb,Hdgf,H2afj,,,,,C1qbp,Ucp2,Cycs,Cycs,Arpc1b,Eef1a1,,,,Ctnnal1,Cd84,,,,,,,,,Cox5b,Pfn1,Gpx4,Rps27,Dut,Tmem258,Sp110,Kdelr2,Lamtor4,Rpl6,Tmem258
213,Ltb,Cebpe,H2-Q6,Arpc1b,Rpl24,H2afj,Dut,Rpl27,Pfn1,Rpl27,B2m,,,,,Krtcap2,Hdgf,Rpl17,Rpl17,Pkm,Arpc1b,,,,Gata2,Plxdc2,,,,,,,,,Eef1a1,Srsf7,Cox8a,Creg1,Gmnn,Hnrnpa2b1,Sec61g,Nme1,Prdx2,H2-D1,Hnrnpa2b1
214,Rufy2,Plxdc2,Mllt4,Pkm,Pfn1,B2m,Sec61g,Rps27,Srsf7,Rps27,Metap2,,,,,Canx,Rpl27,Sdf2l1,Sdf2l1,H2afj,Cox5b,,,,Msmo1,H2-Aa,,,,,,,,,Arpc1b,Etfb,Hmgn1,Mcm7,Nop10,Ppia,Ucp2,Gpi1,Tmem14c,Nme1,Ppia
215,Exoc6b,Ccnd1,Rgag4,H2afj,Srsf7,Gpx4,Nop10,Lamtor4,Cox5b,Lamtor4,Gpx4,,,,,Rac2,Rps27,Cd47,Cd47,B2m,H2afj,,,,Il1r1,Hoxa5,,,,,,,,,Pkm,Tyms,Lyar,H2afz,Sec61g,Rrm2,Hdgf,Hnrnpa1,Mcm7,Gpi1,Rrm2
216,Trim47,Ctsh,Smpdl3a,B2m,Eef1a1,Cox8a,Gmnn,Prdx2,Eef1a1,Prdx2,Cox8a,,,,,Tmem176b,Lamtor4,Cox5b,Cox5b,Metap2,B2m,,,,Adrbk2,Dkkl1,,,,,,,,,H2afj,Eef1a1,Tax1bp1,Rpl6,Ucp2,,Rpl27,Tmem258,H2afz,Hnrnpa1,
217,Adgrg1,Aplp2,Tgm2,Metap2,Arpc1b,Ppia,Ucp2,Tmem14c,H2afj,Tmem14c,Hmgn1,,,,,Srgn,Prdx2,Etfb,Tyms,Gpx4,Metap2,,,,Itsn1,Gstt1,,,,,,,,,B2m,Arpc1b,mt-Nd4,H2-D1,Hdgf,,Hmbs,Hnrnpa2b1,Rpl6,Hnrnpa2b1,
218,Sgms1,Marcks,Pld4,Gpx4,Pkm,Hmgn1,Hdgf,Mcm7,B2m,Mcm7,Lyar,,,,,Eif5a,Tmem14c,Rpl24,Etfb,Cox8a,Gpx4,,,,Padi4,Uvssa,,,,,,,,,Metap2,Cox5b,Krtcap2,Nme1,Sepw1,,Rps27,Ppia,H2-D1,Ppia,
219,Arhgef12,H2-Aa,Eva1b,Cox8a,B2m,Lyar,Sepw1,H2afz,Metap2,H2afz,Tax1bp1,,,,,Spcs2,Mcm7,Pfn1,Rpl24,Hmgn1,Cox8a,,,,Ppp2r3a,Procr,,,,,,,,,Gpx4,H2afj,Ddx21,Vamp8,Rpl27,,Prdx2,,Kdelr2,,
220,Bex1,Scarf1,Hoxb4,Hmgn1,H2afj,Ddx21,Rpl27,Rpl6,Gpx4,Rpl6,mt-Nd4,,,,,Myl6,H2afz,Srsf7,Pfn1,Lyar,Hmgn1,,,,Nrgn,Plscr4,,,,,,,,,Cox8a,B2m,C1qbp,Gpi1,Rps27,,Tmem14c,,Nme1,,
221,Cebpe,Crim1,Epb41l4b,Lyar,Metap2,mt-Nd4,Rps27,H2-D1,Cox8a,H2-D1,Krtcap2,,,,,Naca,Rpl6,Eef1a1,Srsf7,Tax1bp1,Lyar,,,,Foxo3,Arhgef5,,,,,,,,,Hmgn1,Metap2,Canx,Hnrnpa1,Creg1,,Mcm7,,Gpi1,,
222,Igf2bp2,Fcgrt,Erg,Ddx21,Gpx4,Tax1bp1,Lamtor4,Kdelr2,Ppia,Kdelr2,Ddx21,,,,,Dut,H2-D1,Arpc1b,Eef1a1,mt-Nd4,Tax1bp1,,,,Por,Jakmip1,,,,,,,,,Lyar,Gpx4,Serp1,Hnrnpa2b1,Mcm7,,H2afz,,Hnrnpa1,,
223,Plxdc2,Clu,Hebp1,mt-Nd4,Cox8a,C1qbp,Prdx2,Nme1,Hmgn1,Nme1,C1qbp,,,,,Sec61g,Kdelr2,Pkm,Arpc1b,Krtcap2,mt-Nd4,,,,Gabbr1,Rras,,,,,,,,,Tax1bp1,Cox8a,Eif5a,Ppia,H2afz,,Rpl6,,Tmem258,,
224,Ccnd1,Hoxa5,Armc3,Tax1bp1,Hmgn1,Krtcap2,Tmem14c,Gpi1,Lyar,Gpi1,Canx,,,,,Nop10,Nme1,H2afj,Pkm,Ddx21,Krtcap2,,,,Paqr5,Gfod2,,,,,,,,,mt-Nd4,Hmgn1,Spcs2,,Rpl6,,H2-D1,,Hnrnpa2b1,,
225,Ctsh,Gda,Gm43568,C1qbp,Lyar,Canx,Mcm7,Hnrnpa1,Ddx21,Hnrnpa1,Serp1,,,,,Sp110,Med21,B2m,B2m,Laptm4a,Ddx21,,,,Rab37,Lztfl1,,,,,,,,,Krtcap2,Lyar,Myl6,,H2-D1,,Kdelr2,,Ppia,,
226,Aplp2,Dkkl1,Ypel3,Krtcap2,Ddx21,Laptm4a,H2afz,Tmem258,mt-Nd4,Tmem258,Srgn,,,,,Gmnn,Gpi1,Metap2,H2afj,Canx,Laptm4a,,,,F11r,Ly75,,,,,,,,,Ddx21,Tax1bp1,Naca,,Nme1,,Nme1,,,,
227,Marcks,Gstt1,Upp1,Canx,mt-Nd4,Bst2,Rpl6,Hnrnpa2b1,Tax1bp1,Hnrnpa2b1,Eif5a,,,,,Ucp2,Hnrnpa1,Gpx4,Metap2,C1qbp,Canx,,,,Hoxa9,Uba7,,,,,,,,,C1qbp,mt-Nd4,Dut,,Vamp8,,Gpi1,,,,
228,Gchfr,Pnck,,Srgn,Tax1bp1,Mta3,Nme1,Ppia,C1qbp,Ppia,Spcs2,,,,,Hdgf,Tmem258,Cox8a,Gpx4,Srgn,C1qbp,,,,Eid2,Pim2,,,,,,,,,Canx,Krtcap2,Gmnn,,Tbrg1,,Hnrnpa1,,,,
229,H2-Aa,Vat1,,Eif5a,C1qbp,Eif5a,Kdelr2,,Krtcap2,,Myl6,,,,,Rpl27,Hnrnpa2b1,Hmgn1,Cox8a,Eif5a,Srgn,,,,Ssbp2,Mllt4,,,,,,,,,Srgn,Ddx21,Nop10,,Gpi1,,Tmem258,,,,
230,Scarf1,Uvssa,,Spcs2,Krtcap2,Spcs2,H2-D1,,Canx,,Naca,,,,,Hmbs,Ppia,Lyar,Hmgn1,Spcs2,Eif5a,,,,Nfe2,Csf1,,,,,,,,,Eif5a,C1qbp,Sec61g,,Hnrnpa1,,Hnrnpa2b1,,,,
231,Crim1,Procr,,Myl6,Canx,Myl6,Med21,,Serp1,,Dut,,,,,Rps27,,Ddx21,Lyar,Myl6,Spcs2,,,,Nrxn1,Sla2,,,,,,,,,Spcs2,Canx,Ucp2,,Hnrnpa2b1,,Ppia,,,,
232,Fcgrt,Lbp,,Naca,Srgn,Naca,Gpi1,,Laptm4a,,Gmnn,,,,,Prdx2,,mt-Nd4,Ddx21,Naca,Myl6,,,,Rbpms2,Rgag4,,,,,,,,,Myl6,Srgn,Hdgf,,Ppia,,,,,,
233,Clu,Oas1c,,Dut,Eif5a,Dut,Tmem258,,Eif5a,,Nop10,,,,,Tmem14c,,Tax1bp1,mt-Nd4,Dut,Naca,,,,Samsn1,Vldlr,,,,,,,,,Naca,Eif5a,Sepw1,,,,,,,,
234,Hoxa5,Prkg1,,Sec61g,Spcs2,Sec61g,Hnrnpa1,,Spcs2,,Sec61g,,,,,Mcm7,,C1qbp,Tax1bp1,Gmnn,Dut,,,,Lysmd2,Sytl4,,,,,,,,,Dut,Spcs2,Rpl27,,,,,,,,
235,Gda,Plscr4,,Nop10,Myl6,Nop10,Hnrnpa2b1,,Myl6,,Ucp2,,,,,H2afz,,Krtcap2,C1qbp,Nop10,Gmnn,,,,Stxbp4,Ypel3,,,,,,,,,Gmnn,Myl6,Rps27,,,,,,,,
236,Cela1,Ebi3,,Gmnn,Naca,Gmnn,Tmbim6,,Naca,,Hdgf,,,,,Rpl6,,Canx,Krtcap2,Sec61g,Nop10,,,,Camk1d,Grik5,,,,,,,,,Nop10,Naca,Lamtor4,,,,,,,,
237,Dkkl1,Esam,,Ucp2,Dut,Nt5c3,,,Dut,,Rpl27,,,,,Nme1,,Srgn,Canx,Ucp2,Sec61g,,,,Ptms,Pcmtd2,,,,,,,,,Sp110,Dut,Prdx2,,,,,,,,
238,Gstt1,Ttc39b,,Hdgf,Sec61g,Ucp2,,,Sec61g,,Rps27,,,,,Kdelr2,,Eif5a,Srgn,Hdgf,Hdgf,,,,Ccdc112,Gm16141,,,,,,,,,Sec61g,Gmnn,Creg1,,,,,,,,
239,Pnck,Arhgef5,,Rpl27,Nop10,Hdgf,,,Nop10,,Lamtor4,,,,,H2-D1,,Spcs2,Eif5a,Rpl27,Rpl27,,,,Ier5,Il2rg,,,,,,,,,Ucp2,Nop10,Tmem14c,,,,,,,,
240,Vat1,Calcoco1,,Hmbs,Gmnn,Sepw1,,,Gmnn,,Prdx2,,,,,Med21,,Myl6,Spcs2,Rps27,Rps27,,,,Emcn,Gimap6,,,,,,,,,Hdgf,Sp110,Mcm7,,,,,,,,
241,Uvssa,P3h3,,Rps27,Hdgf,Sdsl,,,Ucp2,,Creg1,,,,,Gpi1,,Naca,Myl6,Lamtor4,Lamtor4,,,,Dennd5b,Csad,,,,,,,,,Rpl27,Sec61g,H2afz,,,,,,,,
242,Ppic,Ryk,,Prdx2,Rpl27,Rpl27,,,Hdgf,,Tmem14c,,,,,Tmem258,,Dut,Naca,Prdx2,Prdx2,,,,Tcf7l2,2610035D17Rik,,,,,,,,,Hmbs,Hdgf,Rpl6,,,,,,,,
243,Ttc3,Cd274,,Tmem14c,Hmbs,Rps27,,,Sepw1,,Mcm7,,,,,Hnrnpa1,,Sec61g,Dut,Tmem14c,Tmem14c,,,,Sertad3,Gm19590,,,,,,,,,Rps27,Rpl27,H2-D1,,,,,,,,
244,Procr,Myct1,,Mcm7,Rps27,Creg1,,,Rpl27,,H2afz,,,,,Hnrnpa2b1,,Nop10,Sec61g,Mcm7,Pkm,,,,Arid1b,Myof,,,,,,,,,Prdx2,Hmbs,Kdelr2,,,,,,,,
245,Prkg1,Gm15261,,H2afz,Prdx2,Rap1b,,,Rps27,,Rpl6,,,,,Ppia,,Sp110,Nop10,H2afz,Mcm7,,,,Meis1,Slamf1,,,,,,,,,Tmem14c,Rps27,Nme1,,,,,,,,
246,Lbp,Mettl7a1,,Rpl6,Tmem14c,Mcm7,,,Lamtor4,,H2-D1,,,,,,,Gmnn,Sp110,Rpl6,H2afz,,,,Cers4,Gkap1,,,,,,,,,Mcm7,Prdx2,Gpi1,,,,,,,,
247,Ebi3,Ly6a,,Nme1,Mcm7,H2afz,,,Prdx2,,Kdelr2,,,,,,,Ucp2,Gmnn,H2-D1,Rpl6,,,,Gm5111,Klhl24,,,,,,,,,H2afz,Tmem14c,Hnrnpa1,,,,,,,,
248,Plscr4,Ccrl2,,Kdelr2,H2afz,Rpl6,,,Creg1,,Nme1,,,,,,,Hdgf,Hdgf,Kdelr2,H2-D1,,,,Ccl4,Fam84b,,,,,,,,,Rpl6,Pkm,Tmem258,,,,,,,,
249,Esam,Rgs1,,H2-D1,Rpl6,Nme1,,,Tmem14c,,Gpi1,,,,,,,Rpl27,Rpl27,Nme1,Kdelr2,,,,Lpp,Nfat5,,,,,,,,,H2-D1,Mcm7,Hnrnpa2b1,,,,,,,,
250,Ttc39b,Gm1673,,Gpi1,Nme1,H2-D1,,,Mcm7,,Hnrnpa1,,,,,,,Hmbs,Hmbs,Med21,Nme1,,,,Ptafr,Tspan13,,,,,,,,,Kdelr2,H2afz,Ppia,,,,,,,,
251,Oas1c,Rras,,Tmem258,Kdelr2,Vamp8,,,H2afz,,Tmem258,,,,,,,Rps27,Rps27,Gpi1,Med21,,,,Rnf122,Rec8,,,,,,,,,Nme1,Rpl6,,,,,,,,,
252,Arhgef5,Hoxb2,,Hnrnpa1,H2-D1,Tbrg1,,,Rpl6,,Hnrnpa2b1,,,,,,,Prdx2,Prdx2,Hnrnpa1,Gpi1,,,,Tnfsf10,Jun,,,,,,,,,Gpi1,H2-D1,,,,,,,,,
253,Zfand5,Gfod2,,Hnrnpa2b1,Vamp8,Gpi1,,,Nme1,,Ppia,,,,,,,Tmem14c,Tmem14c,Tmem258,Hnrnpa1,,,,Car2,Cdkn1a,,,,,,,,,Hnrnpa1,Kdelr2,,,,,,,,,
254,Calcoco1,Pard3b,,Ppia,Gpi1,Hnrnpa1,,,Kdelr2,,,,,,,,,Mcm7,Mcm7,Hnrnpa2b1,Tmem258,,,,Ms4a2,Ttc28,,,,,,,,,Tmem258,Nme1,,,,,,,,,
255,P3h3,Ly75,,,Tmem258,Hnrnpa2b1,,,H2-D1,,,,,,,,,H2afz,H2afz,Ppia,Hnrnpa2b1,,,,Msi2,Gm12216,,,,,,,,,Hnrnpa2b1,Vamp8,,,,,,,,,
256,Sugp2,Mycn,,,Hnrnpa1,Tmbim6,,,Med21,,,,,,,,,Rpl6,Rpl6,,Ppia,,,,Casp12,Kdm6b,,,,,,,,,Ppia,Gpi1,,,,,,,,,
257,Cd274,Ppp1r15a,,,Hnrnpa2b1,,,,Gpi1,,,,,,,,,Nme1,Nme1,,Rrm2,,,,Mylip,Mcpt8,,,,,,,,,,Hnrnpa1,,,,,,,,,
